TrainNum,TrainType,A_ArrivalTime,A_AvailCap,A_Boarding,B_ArrivalTime,B_AvailCap,B_Boarding,C_ArrivalTime,C_AvailCap,C_Boarding,U_Arrival,U_AvailCap,U_Offloading
1,L8,7:00,400,25,7:11,375,125,7:23,250,250,7:37,0,400
2,L8,7:10,400,50,7:21,350,100,7:33,250,250,7:47,0,400
3,L8,7:20,400,75,7:31,325,125,7:43,200,200,7:57,0,400
4,L8,7:30,400,100,7:41,300,150,7:53,150,150,8:07,0,400
5,L8,7:40,400,125,7:51,275,175,8:03,100,100,8:17,0,400
6,L8,7:50,400,150,8:01,250,150,8:13,100,100,8:27,0,400
7,L8,7:53,400,0,8:04,400,0,8:16,400,225,8:30,175,225
8,L8,8:00,400,125,8:11,275,125,8:23,150,150,8:37,0,400
9,L8,8:10,400,100,8:21,300,100,8:33,200,125,8:47,75,325
10,L8,8:20,400,75,8:31,325,100,8:43,225,100,8:57,125,275
11,L8,8:30,400,50,8:41,350,75,8:53,275,75,9:07,200,200
12,L4,8:40,200,45,8:51,155,75,9:03,80,50,9:17,30,170
13,L4,8:50,200,40,9:01,160,50,9:13,110,50,9:27,60,140
14,L8,9:10,400,65,9:21,335,80,9:33,255,85,9:47,170,230
15,L4,9:30,200,45,9:41,155,45,9:53,110,65,10:07,45,155
16,L4,10:00,200,30,10:11,170,25,10:23,145,25,10:37,120,80
